0, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
145, CASABLANCA - TÉLÉCONSEILLERS FRANCOPHONES POUR SERVICE CLIENT A CASANEARSHORE,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Horaires entre 7H30/19H30 dimanche off Bénéficiez de nombreuses conventions d'assurance telles que l'assurance santé, des tarifs préférentiels sur les assurances auto et voyage, ainsi que l'accès au comité des œuvres sociales offrant des excursions, des centres de vacances, et diverses conventions pour des réductions et des avantages dans des centres de bien-être, des librairies, et plus encore. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
146, COMMERCIAUX ASSURANCES,Centres d'appels, Rabat ,1 semaine avant,Société: OXO . COM , CDI ,"OXOCOM recrute des top performeurs pour commercialiser et vendre les produits mutuelles santé & prévoyance. Des experts conseil qui savent apporter la solution en toute circonstance et répondre aux besoins de notre clientèle. si vous cherchez l’excellence, la compétitivité, si vous aspirez à un avenir meilleur et une belle carrière OXOCOM vous offre les moyens et l’occasion de prospérer.","Très bon négociateur - Très bon communicant Nous vous proposons : - Un environnement de travail agréable, une philosophie du groupe différente du commun où chacun y trouvera son plaisir pour atteindre l’excellence -CDI - CNSS / AMO - Challenges et bien plus encore... -Salaire Net + nombres premiers -Horaire administratif (09h00-18h00)","Implanté à Rabat depuis plus de 10 ans, OXO est un centre d'appel qui assure des prestations de services annuelles en émission et réception pour des leaders du marché français et internationaux qui visent le partenariat, la continuité et la stabilité.", CDI , Métiers des centres d'appels , Junior (de 3 à 5 ans) , BAC , Français 
147, TELECONSEILLERS DEBUTANTS,Centres d'appels, Rabat ,1 semaine avant,Société: OXO . COM , CDI ,Nous recrutons des TELECONSEILLERS DEBUTANTS pour plusieurs projets,"Vous avez un bon niveau en langue française. - Vous aimez le relationnel ? -Vous recherchez un premier emploi stable sans rupture d'activité et un salaire garanti ? -Ce poste est pour vous, pour tous les jeunes qui cherchent la stabilité et l'évolution, Rejoignez nos équipes rapidement Salaire+ primes Contrat de travail+CNSS+AMO Cadre de travail AGREABLE","Implanté à Rabat depuis plus de 10 ans, OXO est un centre d'appel qui assure des prestations de services annuelles en émission et réception pour des leaders du marché français et internationaux qui visent le partenariat, la continuité et la stabilité.", CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC , Français 
148, COMMERCIAUX EN RECEPTION D'APPELS – 5200DHS + PRIMES ILLIMITEES,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché : • Avoir une culture orientée voyage • Excellente approche client et forte capacité à convaincre • Parfaite maîtrise de la langue française, avec une bonne aisance à l’oral comme à l’écrit. • Techniques et argumentation commerciales • Bonne faculté d'écoute active • Capacité à gérer votre stress Expérience requise Expérience en télévente souhaitable. Envoyez-nous votre CV à : recrutement@jobdeveloppement.net TEL 0668742284. ","Descriptif de poste : Votre mission sera d'assister les clients à préparer leurs prochaines vacances et de partir en voyage avec un esprit léger : • Vendre des produits et pack vacances dans le cadre d’appels entrants ou sortants. • Gérer de manière optimale le portefeuille client • Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet Avant de prendre en charge sa mission, une formation complète est assurée afin de vous préparer aux responsabilités qui vous seront confiées.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
149, CASA – CONSEILLERS COMMERCIAUX FRANCOPHONES EN BTOB – SECTEUR BANCAIRE – EXPERIENCE EXIGEE,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché : De formation Bac+2 minimum, vous justifiez d'une expérience réussie dans le service client idéalement en contact BtoB. Vous avez une excellente maîtrise de la langue française et de l’outil informatique. Qualités requises : Fort sens relationnel, Écoute et sens du service, Esprit d’équipe, Dynamisme, Rigueur, Disponibilité, Grandes capacités d'adaptation. Rémunération : - Fixe : 4 200 DHS qui passe à 4 500 DHS après la validation - Primes plafonnées : 2 000 DHS - Bonus trimestriel conditionnée par l’atteinte de la totalité de la prime pendant 3 mois consécutifs : 1 200 DHS Amplitude horaire : - Métiers de la relation client : Du lundi au dimanche de 9h à 21h horaire rotatif / samedi une journée planifiée par défaut / un dimanche off / 2 et une journée off au cours de la semaine. Avantages sociaux : - Un Contrat CDI dès l’intégration - CNSS Mutuelle santé sans délai de carence (1er jour d'intégration) Envoyez-nous votre CV via ce site Tél. 06 68 74 22 84","Descriptif du poste : Vous rejoindrez une des activités de la chaine de valeur du crédit et de la banque à distance, plus précisément au sein de l’activité « Conseil sur ouverture de compte – BtoB ». Vous aurez pour missions principales de répondre aux demandes de nos partenaires concernant des demandes clients de Crédits. En appels entrants, vos missions principales : Vous étudiez les demandes de prêts des clients de nos partenaires professionnels et les accompagnez avec agilité, Vous êtes garant de la réalisation de vos objectifs quantitatifs et qualitatifs pour le développement du chiffre d’affaires de votre activité, Impliqué(e), vous garantissez la satisfaction de nos Clients Vous êtes garant du respect des politiques commerciales de l'entreprise, et des process de traitement métier.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
150, MARRAKECH - PROFILS BILINGUES FRANCO-ANGLOPHONES EN RECEPTION D'APPELS SECTEUR DU TOURISME,Centres d'appels, Marrakech ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
151, Conseiller en Vente - Mutuelle Santé,Centres d'appels / Assurance, Casablanca ,1 semaine avant,Société: prestige , CDI ,"Exigences : Expérience préalable dans la vente, de préférence dans le secteur de l'assurance ou de la mutuelle santé. Excellentes compétences en communication verbale et écrite. Maîtrise parfaite de la langue française. Capacité à travailler efficacement dans un environnement basé sur les objectifs. Esprit d'équipe et capacité à collaborer avec d'autres membres de l'équipe. Connaissance de base des produits d'assurance ou de mutuelle santé (une formation sera fournie). ","Conseiller en Vente - Mutuelle Santé Responsabilités : En tant que Conseiller en Vente, vous serez chargé de promouvoir nos produits de mutuelle santé et d'aider les clients potentiels à trouver la meilleure solution adaptée à leurs besoins. Vos responsabilités incluront : Répondre aux appels entrants et sortants de manière professionnelle. Présenter les avantages et les caractéristiques de nos produits de mutuelle santé. Identifier les besoins des clients et recommander des solutions appropriées. Finaliser les ventes et traiter les transactions avec précision. Fournir un excellent service client en répondant aux questions et en résolvant les problèmes. Avantages : Rémunération compétitive avec des primes attractives basées sur les performances. Formation approfondie sur les produits et les techniques de vente. Possibilités d'avancement professionnel au sein de l'entreprise. Environnement de travail stimulant et convivial. Si vous êtes passionné par la vente, que vous avez un excellent sens du service client et que vous souhaitez évoluer au sein d'une entreprise en pleine croissance, nous serions ravis de vous accueillir dans notre équipe. Envoyez votre CV et lettre de motivation en mentionnant ""Conseiller en Vente - Mutuelle Santé"" dans l'objet. Date limite de candidature : 31/03/2024","Nous sommes une entreprise dynamique spécialisée dans la fourniture de solutions de mutuelle santé de qualité pour le marché Français. Forts de notre engagement envers le bien-être de nos clients, nous recherchons des professionnels talentueux pour rejoindre notre équipe de vente au sein de notre centre d'appels.", CDI , Banque / Assurance / Marketing / Métiers des centres d'appels , Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans ,non spécifié, Français 
152, Courtier Français en assurance Recrute en CDI : Commerciaux en Assurance Santé et Auto : Rem jusqu'a 30 000 dhs,Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 semaine avant,Société: LES MANDARINS MAROC , CDI ,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission","Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.","Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, Recrute plusieurs profils experts suite à l'ouverture de notre Site à Ain Atiq (région de Témara): Conseillers Commerciaux experts en assurance SANTE + AUTO + DECENNALE. Expérience exigée d'un an minimum dans un poste similaire.", CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
153, Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE : Rem jusqu’à 35 000 dhs,Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 semaine avant,Société: CPA MAROC , CDI ,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.","Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement",CPA MAROC est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
154, Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 30 000 dhs (Courtier Français),Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 semaine avant,Société: CPA CS , CDI ,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.","Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement",CPA CS est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français basé à Casablanca et rabat., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
155, MARRAKECH - TELECONSEILLERS BILINGUES FRANCO-ANGLOPHONES EN RECEPTION D'APPELS 5500DHS + PRIMES,Centres d'appels, Marrakech ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
156, CASABLANCA - RÉCEPTION D'APPELS FRANCOPHONES AU CENTRE VILLE,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,Profil recherché : Excellente maîtrise du français à l'oral et à l'écrit. Bonne capacité d'écoute et bonne reformulation. Assidu et ponctuel. Merci de nous envoyer votre CV à : recrutement@jobdeveloppement.net TEL 06 68 74 22 84. ,"Nous recrutons des charges de clientèle en réception d'appels, pour un fournisseur de gaz et d’électricité français. Votre mission : Consiste à donner aux clients les informations relatives à leurs demandes. Avantages du poste : Horaires rotatifs. Salaire 4500dhs + prime de rendement Contrat CDI + AVANTAGES SOCIAUX (CNSS+mutuelle privée) Formation rémunérée a 100 % du salaire.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
157, Casa - Conseiller Client Francophone Service Après-Vente Automobile,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500dhs + primes de production * Horaires 8H-18H ou 9H-19H + week-end off, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. WhatsApp 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client D’UN GROUPE AUTOMOBILE INTERNATIONAL, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
158, Commerciaux experts en assurance santé,Assurance, Casablanca ,1 semaine avant,Société: ENSURE Call , CDI ,"Vous avez une expérience probante dans la télévente de produits d'assurance santé. Nous recherchons des profils sérieux et dynamiques, en maîtrise de l'environnement assurance en France capables de transformer des leads en contrats.","Nous vous proposons un salaire fixe plus variable sur objectif Contrat CDI , CNSS et d'autres avantages sociaux.",Cabinet de courtage d'assurance reconnu en France et délocalisé au Maroc à la recherche de commerciaux expérimentés dans la vente de produits d'assurance santé. Votre mission est de proposer à des prospects français (leads) des couvertures santé et les faire souscrire à l'une de nos offres. , CDI , Banque / Assurance , Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC+3 / BAC+4 / BAC+5 et plus , Français 
159, FRANCOPHONE EN RECEPTION D'APPELS A MARRAKECH.,Centres d'appels, Marrakech ,1 semaine avant,Société: Kocc Médias , CDI ,"Rattaché(e) à votre responsable d'équipe, votre mission consiste à : Assister les clients en répondant efficacement selon les chartes et procédures mises en place, Participer au développement des activités à travers des remontées terrains et des propositions pertinentes, Fidéliser les clients en s'inscrivant dans une démarche d'amélioration basée sur la satisfaction client. Nous offrons les avantages suivants : Salaire de base 4500 DHS + Primes CNSS + Mutuelle privée, Horaires rotatifs Heures supplémentaires rémunérées, Formation initiale rémunérée, Challenges internes avec des lots à gagner,","Vous êtes issu(e) d'une formation Bac+2 toute filière confondue ou équivalent, passionné(e) par la gestion de la relation client. Vous maîtrisez parfaitement le français à l'écrit comme à l'oral, Vous aimez travailler en équipe, tout en restant concentré(e) sur l'atteinte de vos objectifs, Vous avez le sens du service client et commercial, Vous avez de réelles capacités d'écoute et êtes dynamique, rigoureux(se) et organisé(e). Vous avez le goût du Challenge? Vous appréciez le travail d'équipe? Vous souhaitez tracer un réel parcours professionnel ? Ce poste est donc à vous !","Cabinet de conseil en publicité, en Rh, qui intervient sur l'optimisation et le développement du capital humain par la mise en place de ses expertises en recrutement, en coaching, en évaluation de talents, en optimisation des processus de gestion des ressources humaines.", CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 , Français / Anglais 
160, Auditeur Consultant,Comptabilité / Gestion / Audit, Casablanca ,1 semaine avant,Société: MSB , CDI ,"Diplomé Bac+5 (Master CCA, DSCG, ...) avec une première expérience (d'au moins 2 ans) en cabinet d'expertise comptable, audit & commissariat aux comptes. Esprit d'équipe, sens de responsabilité, bonnes élocution et présentation,...","Participation à des missions d'audit financier . Gestion d'un portefeuille de PME (Supervision et assistance comptable,...). Participation à des mission de conseil et d'accompagnement,...","Cabinet d'expertise comptable, audit & conseil", CDI , Comptabilité / Gestion / Audit , Débutant (de 1 à 3 ans) , BAC+3 / BAC+4 / BAC+5 et plus , Français / Anglais 
161, FRANCOPHONE EN RECEPTION D'APPELS A CASABLANCA.,Centres d'appels, Casablanca ,1 semaine avant,Société: Kocc Médias , CDI ,"Rattaché(e) à votre responsable d'équipe, votre mission consiste à : Assister les clients en répondant efficacement selon les chartes et procédures mises en place, Participer au développement des activités à travers des remontées terrains et des propositions pertinentes, Fidéliser les clients en s'inscrivant dans une démarche d'amélioration basée sur la satisfaction client. Nous offrons les avantages suivants : Salaire de base 4500 DHS + Primes CNSS + Mutuelle privée, Horaires rotatifs Heures supplémentaires rémunérées, Formation initiale rémunérée, Challenges internes avec des lots à gagner, ","Vous êtes issu(e) d'une formation Bac+2 toute filière confondue ou équivalent, passionné(e) par la gestion de la relation client. Vous maîtrisez parfaitement le français à l'écrit comme à l'oral, Vous aimez travailler en équipe, tout en restant concentré(e) sur l'atteinte de vos objectifs, Vous avez le sens du service client et commercial, Vous avez de réelles capacités d'écoute et êtes dynamique, rigoureux(se) et organisé(e). Vous avez le goût du Challenge? Vous appréciez le travail d'équipe? Vous souhaitez tracer un réel parcours professionnel ? Ce poste est donc à vous ! ","Cabinet de conseil en publicité, en Rh, qui intervient sur l'optimisation et le développement du capital humain par la mise en place de ses expertises en recrutement, en coaching, en évaluation de talents, en optimisation des processus de gestion des ressources humaines.", CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 , Français 
162, Agent service client Maroc,Centres d'appels, Casablanca ,1 semaine avant,Société: Job4You , CDI ,"Pour le compte d'un de nos clients, nous recrutons des agents de service client pour une opération Marocaine.",Profil recherché : bac et + avec un bon niveau de communication Arabe et Français. Poste basé en plein centre de Casablanca accessible par tous les moyens de transport dans un cadre agréable et professionnelle. Contrat et avantage salaire intéressant. Envoyé nous vos CVs.,"JOB4YOU est un réseau de ressources dédié à vous mettre sur la voie de nouvelles opportunités d'emploi ou de carrière. Nous croyons en vous. Nous croyons que vous êtes capable de grandes choses. C'est pourquoi JOB4YOU a été créé pour vous fournir les outils nécessaires pour réussir. Notre objectif est de vous mettre en contact avec des possibilités de formation avancées et de nouvelles voies de carrière passionnantes. Alors, qu'est-ce que ça signifie pour vous? -Si vous êtes à la recherche d'un emploi, nous vous aiderons à trouver un travail qui pourrait mener à une carrière passionnante. -Si vous n'êtes pas satisfait de votre carrière actuelle, nous vous aiderons à en trouver un plus satisfaisant. Notre passion vous aide à vous mettre sur la voie d'une vie plus réussie et plus agréable.", CDI , Autres fonctions ,non spécifié, BAC , Arabe / Français 
163, Opportunité de carrière : devenez conseiller commercial en assurance à rabat !,Centres d'appels, Rabat ,1 semaine avant,Société: phenix assurances , CDI ,conseiller commercial,Commercial,"Phénix Assurances cabinet français indépendant de courtage en Assurances,nous proposons des solutions adaptées destinées tant aux Particuliers qu?aux Professionnels et Entreprises .", CDI , Communication / Publicité , Débutant (de 1 à 3 ans) , BAC , Français 
164, Technicien réseau avec ou sans expérience,Informatique / Internet / Multimedia / Télécommunications, Tanger ,1 semaine avant,Société: TANGER SYSTEM INFORMATION , Free Lance ,Technicien réseau avec ou sans expérience ,Technicien réseau,INSTALLATION DE SYSTEM D'INFORMATION ET RÉSEAUX INFORMATIQUES, Free Lance , Informatique / Internet / Multimedia / Télécoms / Réseaux , Fraichement diplômé / Débutant (de 1 à 3 ans) , NIV BAC ET MOINS / BAC , Arabe / Français 
165, Cadres commerciaux sédentaires B2B (junior),Informatique / Internet / Multimedia, Casablanca ,1 semaine avant,Société: ITFACTO , CDI ,"- Un diplôme bac+3 (au minimum), idéalement en action commerciale. - Une maîtrise parfaite du français à l’oral, avec un bon niveau à l’écrit. - Un sens de l'écoute et une bonne fibre commerciale. - Un professionnalisme et des qualités relationnelles. - Aimer les défis professionnels, pour atteindre les objectifs. - Une disponibilité immédiate.","- Un contrat CDI + une mutuelle privée - Des horaires compatibles avec la vie de famille (week-end Off) - Une ambiance chaleureuse et des challenges commerciaux attractifs - Des formations continues, permettant aux nouvelles recrues de progresser rapidement - Salaire net fixe à partir de 7000 Dhs, sans compter les primes mensuelles calculées selon la réalisation des objectifs, le tout pouvant atteindre 11 000 Dhs net, si objectifs atteints à 100% - Une évolution de salaire, après validation.","Une entreprise française recrute pour sa filiale basée à Casablanca, des jeunes débutants ou avec expérience. En votre qualité de cadre commercial sédentaire B2B junior, vous devrez assurer la prospection téléphonique (émission d’appels), afin de détecter des affaires, pour le compte de nos clients. L'objectif est d'échanger par téléphone avec des prospects sur leurs sujets d’actualité, et qualifier leurs besoins.", CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) , BAC+3 / BAC+4 / BAC+5 et plus , Français 
166, MARRAKECH - TÉLÉCONSEILLERS BILINGUES FRANÇAIS + ANGLAIS EN RÉCEPTION D'APPELS,Centres d'appels, Marrakech ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Bac et +. Français et Anglais parfaitement maitrisés, aisance orale, un réel sens du service et motivé par un plan de carrière dans une entreprise qui offre de véritables opportunités d'évolution. Nous offrons les avantages suivants : - Salaire intéressant + Primes mensuelles de production, - CNSS + Mutuelle privée, - Embauche immédiate. Stabilité de l'emploi. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél. 0661476387","Nous recrutons des chargés de clientèle bilingues FRANCOPHONES/ANGLOPHONES en réception d'appels. Horaires de travail entre 8H et 22H 2 jours off par semaine Rattaché au responsable de l'équipe, votre mission consiste à : - Répondre aux demandes d'informations et réclamations des clients - Apporter conseil et support tout en assurant une qualité optimale de service. - Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
167, COMMERCIAUX EXPERIMENTES EN ASSURANCE / 5250DHS + PRIMES ILLIMITEES,Centres d'appels, Casablanca ,1 semaine avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché Parfaite maîtrise de la langue française à l'oral et à l'écrit. Bonnes connaissances des techniques de vente. Capacité à identifier rapidement les besoins clients. Forte capacité à convaincre et à négocier. Goût pour le challenge et le dépassement de soi. Expérience Expérience en télévente pure et dure, avec prise de coordonnées bancaires est indispensable, si c'est en Assurances / Mutuelle ce serait idéal. Nous vous offrons : -Salaire 5250DHS les 3 premiers mois 5500 DHS le 4ème et 5ème mois et 6000DHS le 6ème mois + Primes déplafonnées très intéressantes, -Transport assuré -CDI dès le 1 er jour de formation. -Formation rémunérée -CNSS+ mutuelle privé. -Restauration sur place subventionnée -Horaires : 9H-12H et 14H-19H -Deux samedi par mois : 9H-13H Envoyez-nous votre CV à : recrutement@jobdeveloppement,net TEL 0668742284 ","Poste Rattaché au responsable d'activité, votre mission consiste à: Vendre des contrats d’assurance santé pour le compte de la société. Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet. Proposer la gamme des produits Conseiller la clientèle par téléphone. Fidéliser les clients dans le cadre d'appels sortants. Vous serez formés aux aspects spécifiques de l’assurance et aux produits.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
