39,Conducteur De Machine, Confidentiel ,06/12/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Prendre en charge la préparation et /ou l'approvisionnement des matières premières, de la fabrication des produits, de leur conditionnement Assurer la conduite des machines et leur bon fonctionnement Respecter les enjeux de productivité / qualité et contrôler la production dans ses différentes phases Veiller à la qualité et aux exigences d’hygiène et de sécurité dans son environnement de travail. Aviser les supérieurs hiérarchiques, en cas de dysfonctionnement, de panne ou d’arrêt momentané de chaîne de production "
40,Directeur Administratif Et Financier, Confidentiel ,24/11/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," En tant que Directeur Administratif et Financier, vous jouerez un rôle essentiel dans la gestion financière et administrative de notre client. Vous serez responsable de la supervision et de la coordination des activités financières, comptables, administratives et fiscales de l'entreprise. Vous travaillerez en étroite collaboration avec l'équipe de direction pour élaborer des stratégies financières efficaces et contribuer au succès de l'entreprise. "
41,ChargÃ© De Mission , Confidentiel ,24/11/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Soutenir le Président dans la préparation des réunions et des dossiers destinés à la Direction du Groupe. Représenter l’administration auprès des partenaires du secteur, des organisations internationales et des institutions Gérer le changement dans les activités organisationnelles Établir des stratégies pour orienter le travail de la structure Évaluer et améliorer les performances organisationnelles Piloter les risques projets (qualitatifs, budgétaires, contractuels et de planning) Participer à la production dans le cadre d'une mission (rédaction des livrables, interview...) Développer ou participer au développement de nouvelles offres ou de nouvelles approches Assurer le suivi budgétaire et la responsabilité de la rentabilité des missions confiées Animer des projets internes transversaux Préparer, participer aux réunions de direction et assurer le suivi de la mise en application des décisions. Gestion de projets transverses en synergie, "
42,Responsable TrÃ©sorerie H/f , Confidentiel ,24/11/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Vous serez en charge de la gestion de la trésorerie du groupe, à l’élaboration et à la mise en œuvre de la stratégie de gestion de trésorerie. "
43,Infographiste, Confidentiel ,24/11/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," L’infographiste a pour mission de réaliser des visuels alliant images, photos, texte et vidéo à partir d’outils informatiques tout en prenant en compte l’esthétique et le contexte. L’infographiste assure la création et la réalisation des supports et des dépliants dans Le respect de la charte graphique de l’entreprise. Il réalise des dessins grâce à des palettes graphiques, retouche et transforme des photos et des images et les assemble sur un même support. "
44,Office Manager, Confidentiel ,16/11/2023," Berrechid, Maroc ", Maroc ,non spécifié, Berrechid , CDI ,Experience :, Bac + 4 , Anglais , Negociable ,non spécifié," Organisation du planning de travail et suivi des activités du DG / DRH (gestion optimale du temps du DG/ DRH, gestion de l’agenda du DG/DRH, prise de RDV et confirmation, gestion des visites et des communications téléphoniques, organisation de réunions, de repas d’affaires…), Suivi de l’état d’avancement des dossiers et des projets, Préparation des factures, des devis .., Gestion de la relation avec les fournisseurs (suivi, paiement…) Organisation des déplacements (réservations, préparation des dossiers correspondants…), Gestion du courrier papier ou électronique entrante ou sortante, Rédaction de rapports (comptes rendus de réunions, rapports faisant l’objet d’une demande spécifique du DG…). Communication interne et externe en gérant les flux d’informations, Reporting, Gestion des services généraux, Suivi des budgets, Organisation des réunions et des différents événements internes, Organisation de manifestation événementielle, Gestion de la trésorerie … "
45,Responsable SÃ©curitÃ© Et Moyens GÃ©nÃ©raux, Confidentiel ,16/11/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Propose et fait valider les orientations en matière de gestion de la sécurité et des services généraux Pilote et met en œuvre la politique de sécurité physique et de gestion des services généraux Applique et fait respecter les normes et procédures en vigueur Participe aux travaux d'installation, d'aménagement et de maintenance des locaux Met en œuvre les moyens de contrôle afin de garantir la sécurité des personnes et la sûreté des biens Visite tous les biens immobiliers appartenant au Groupe Réalise une veille métier et effectue le reporting de son activité "
46,Head Of Hr Development , Confidentiel ,16/11/2023," Berrechid, Maroc ", Maroc ,non spécifié, Berrechid , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Basé à Berrechid et rattaché au DRH, vos missions s'articulent autour de : Recrutement: suivi intégral du cycle depuis le sourcing jusqu'à l'intégration via le process d'induction; Gestion de nombreux projets, tant sur le plan stratégique que sur le plan fonctionnel, Développement RH: mise en place et actualisation des fiches de poste; système d'évaluation de la performance; talent management et plans de succession; plan de formation; plan d'activités sociales; Pilotage & Reporting: budget annuel RH; gestion politique de rémunération; communication interne; relations avec IRP; rédaction de reportings périodiques; "
47,Responsable Ordonnancement Et Planification , Confidentiel ,27/10/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Elabore le budget de son service et en suit la réalisation. Effectue un reporting périodique Définit les normes et procédures de planification des commandes et veille à leur application. Identifie les dysfonctionnements en matière de coordination et en informe le Directeur Achats et Logistique. Définit, avec le Directeur Achats et Logistique, les actions correctrices à mener au niveau de la coordination et en suit l'application. Définit les besoins d'approvisionnements en papier décors, placage essences fines, panneaux particules et panneaux MDF. "
48,Responsable Prescription, Confidentiel ,27/10/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Vous êtes garant de la mise en œuvre de la politique commerciale, du développement, de la diffusion et de la visibilité de nos marques sur les circuits de Prescription Planifier et développer l'ensemble des activités relatives à la prescription et au marketing Promouvoir auprès des prescripteurs les produits et marques proposés par l'entreprise Gestion administrative de l’agence commerciale Casablanca "
49,Responsable Organisation Et SystÃ¨me D'information, Confidentiel ,27/10/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Mettre en œuvre la politique informatique en accord avec la stratégie générale de l’entreprise et ses objectifs de performance. Garantir la continuité du Service Organisation et Système d’Information fourni aux utilisateurs et anticiper les changements et leurs impacts métiers sur le Système d’Information. Apprécier et améliorer le dispositif du contrôle interne. 
50,Responsable Production, Confidentiel ,27/10/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Suivre et Manager les équipes production Superviser la planification, organiser les équipes, suivre la qualité et la productivité tout au long de la chaîne de production, participer aux nouveaux projets et à leur mise en place Participer à l’élaboration du processus fabrication, et assurer toutes les conditions requises pour travailler dans des conditions optimales de santé, sécurité, d’hygiène de qualité, de coûts et de moyens. Assurer les Reportings quotidiens, hebdomadaires et mensuels des indicateurs de production. Participer à l’élaboration des budgets annuels en liaison avec les services concernés. Définir le plan de production en fonction des moyens humains, matériels et financiersâ¯ Garantir la continuité du flux de production depuis l’approvisionnement (matières premières ou pièces) jusqu’à l’expédition des produits finisâ¯; Veiller au respect des normes de sécurité, de qualité et d’hygièneâ¯; Traiter les éventuels incidents et dysfonctionnementsâ¯et mettre en œuvre des plans de préventionâ¯; Identifierâ¯les possibilités d’amélioration continue en matière de performance et de sécuritéâ¯; Animer et manager une ou plusieurs équipes de production (chefs d’atelier, opérateurs de production, opérateurs, etc.) : formation, organisation du planning, …â¯; Piloter les indicateurs clés de performanceâ¯et effectuer un reporting d’activité à la directionâ¯; Veille technique et technologique. "
51,Responsable Ã©tudes Et DÃ©veloppement Sage X3, Confidentiel ,20/09/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Participer à la gestion de l’ERP Sage X3. Former les utilisateurs de l’ERP Sage X3 sur les fonctionnalités du système. Gérer l’application GLPI relative aux incidents SI. Concevoir et développer des solutions informatiques. Recueillir les nouvelles fonctionnalités à mettre en œuvre sur l’ERP Sage X3 en concertation avec le métier. 
52,Assistante Du Directeur Industriel, Confidentiel ,20/09/2023," Nouacer, Maroc ", Maroc ,non spécifié, Nouacer , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Préparer et organiser des réunions de la direction industrielle Assurer un accueil physique et au téléphonique Rédiger les courriers, notes, synthèse et présentations Préparer et organiser les réunions, séminaires, événements et visites sur site. Suivre les dossiers industriels et projets industriels auxquels elle sera affectée entant que Owner ou participante Etablir les besoins en matériel, fournitures, consommables et éditer les demandes d’achat et vérifier la conformité des réceptions Assurer le classement des documents et le maintien de l’archivage. Vous serez l'interlocutrice privilégiée de la cellule communication du Groupe, des fournisseurs et des partenaires. "
53,Juriste ( Tanger ) , Confidentiel ,12/09/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Assurer une veille juridique permanente sur les activités de l’entreprise en suivant à la fois l’évolution des réglementations nationales et parfois internationales ainsi que la jurisprudence Rédiger des actes juridiques et de consultation juridique dans différents domaines du droit des affaires (droit immobilier, commercial et droit des sociétés) Participer au montage de joint-venture Participer à la rédaction de dossiers de financement Revoir les conventions d’investissement Vérifier la légalité des contrats, S’occuper aussi des contentieux avec des clients qui ne paient pas leur commande ou des litiges avec les fournisseurs. Renseigner et aviser les collaborateurs, les clients sur des questions d’ordre juridique sur un contrat. Informer la direction de l’entreprise sur la procédure d’assignation en justice, de mise en demeure, de conciliation adaptée à la résolution du litige Effectuer une veille (actualité légale, jurisprudentielle, …) et avertir les collaborateurs de l’évolution des textes Monter des dossiers de plaidoirie (recueil des pièces, consultation de la jurisprudence, rédaction des conclusions, …) Etablir des actes de procédure (rédaction des assignations, transmission des conclusions, remise du dossier au juge, …) "
54,Gestionnaire Des Stocks, Confidentiel ,06/09/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Contrôle des mouvements de stocks afin d’éviter les ruptures avec application de la méthode des seuils Saisie des bons de transfert, des dépôts vers les magasins Saisie des bons de réception Contrôle de la qualité et la quantité des marchandises réceptionnées et pointage avec la facture ou BL reçu des fournisseurs Pointage de la marchandise livrée aux clients Préparation de travaux d’inventaire Veiller à obtenir l’écart 0 entre stocks physiques avec celui de la gestion commerciale en évitant les erreurs "
55,Concepteur Designer, Confidentiel ,06/09/2023," Rabat-Salé-Kenitra-Zemmour-Zaër, Maroc ", Maroc ,non spécifié, Rabat-Salé-Kenitra-Zemmour-Zaër , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié, Vous serez responsable de la création de dessins techniques et de modèles 3D pour des projets industriels. 
56,ChargÃ© Sav, Confidentiel ,06/09/2023," Rabat-Salé-Kenitra-Zemmour-Zaër, Maroc ", Maroc ,non spécifié, Rabat-Salé-Kenitra-Zemmour-Zaër , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Le chargé SAV a pour mission de traiter et gérer les réclamations clients relatifs au service après-vente. Il est en relation étroite avec l’équipe commerciale, le staff technique, les autres magasins du réseau, ainsi que le SAV logistique, afin d’assurer le meilleur service après-vente client. "
57,Conseiller ( E ) Commercial ( E ) , Confidentiel ,06/09/2023," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Vous êtes chargé(e) de l’accueil, du conseil et de la vente de nos produits hauts de gamme. Vous êtes responsable de la gestion des projets de décoration d'ampleur: Accompagner les clients dans la sélection des produits et leurs finitions. Concevoir un dossier de présentation de projet. Suivre les commandes auprès de nos ateliers afin d'assurer la bonne livraison des projets. "
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
58,ChargÃ© Approvisionnement, Confidentiel ,05/09/2023," Rabat-Salé-Kenitra-Zemmour-Zaër, Maroc ", Maroc ,non spécifié, Rabat-Salé-Kenitra-Zemmour-Zaër , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié, Assurer l’optimisation des niveaux de stocks afin de garantir la disponibilité des produits au niveau du magasin Activités Principales du poste : Veiller au traitement des commandes et des ruptures magasin Participer à l'optimisation des stocks du début et fin de dépliants Veiller au respect des plannings d'engagements avec les magasins et la mise à jour des prix Coordonner la livraison des commandes Tenir à jour les indicateurs de suivi des commandes et livraisons 
59,Assistant ( E ) Administrativ ( E ) Et Commercial ( E ) , Confidentiel ,05/09/2023," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Gestion administrative des activités du magasin. Collaboration avec les équipes commerciales. Elaboration et suivi des commandes, des factures et des livraisons. Réponse aux différentes demandes des clients et des partenaires. Suivi des offres commerciales. Gestion et suivi des réclamations clients. Reporting des activités administratives et commerciales… "
60,Directeur Magasin, Confidentiel ,05/09/2023," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Rattaché au Directeur Commercial Réseau, votre mission principale est de contribuer à la définition de la stratégie de votre magasin en concertation avec la direction générale, les achats, le marketing, la finance et les ressources humaines. Vous assurez la mise en œuvre de tous les moyens pour garantir l’application de la politique commerciale de l’enseigne et développer le chiffre d’affaires de votre magasin. "
61,Head Of Purchasing , Confidentiel ,05/09/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Ensures smooth and efficient operation of the local (country or region) purchasing organization according to local and global standards, manages and leads the team of national Category Buyers and / or Procurement Clerks / Specialists "
62,Directeur Import & Transit, Confidentiel ,01/09/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le candidat idéal aura une solide expérience dans le domaine du transit et de la logistique, ainsi qu'une compréhension approfondie des réglementations douanières et des procédures de dédouanement au Maroc. "
63,IngÃ©nieur Agricole - Commercial En Nutrition Animale Et Enrichissement Des Sols, Confidentiel ,31/08/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Assurer la promotion et la vente des produits & intrant Food et autres services auprès d'entreprises dont il/elle a la charge de fidéliser, conformément à la politique commerciale définie par la direction "
64,Responsable Financier/responsable Financement De Projets ( Tanger ) , Confidentiel ,30/08/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Finance d’Entreprise, Analyse et gestion financières, Montage des dossiers de financement, Elaboration des business plans, Fusion & Acquisition, Restructuration financière "
65,Head Of Hrbp ( Agadir ) , Confidentiel ,30/08/2023," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Leads the HR Business Partner org unit on country / production facility level. Sets procedures, technical standards and methods, and priorities. Leads the direct reports (managers and/or employees) in the respective area of responsibility. Ownership of short to mid-term execution of functional strategy and the operational direction of the unit Accountable for planning, management and development of service delivery according to defined objectives and KPIs on country / production facility level Contributes to the definition budgets for HR Business Partnering activities Implements policies and procedures; ensures policies, practices and procedures are understood and followed by direct reports, customers and other erlevant stakeholders. Designs and leads HR programs in defined are of responsibility; support / lead upon request all global / country initiatives and roll-ins of HR programs, policies, processes, projects Plans the regularly team activity in order to cover all the activity stages and reply to all the requests received. Identifies the risks, analyzes them and identifies the solutions for their reduction /removal Actively searches and identifies potential in area of responsibility, offers active consulting Functional contact person for colleagues in own area of responsibility, for related interfaces in specific topics and for various special/non-standard topics Acts internally as first contact person in field of activity on country / production site level Team's monitoring and guidance in the current activity, in the problem solving processes, achievement of the objectives and fulfillment of the tasks, and own interventions whenever necessary. Defines the objectives, action plans and team members' responsibilities. Provides clear instructions, monitoring and evaluation of the results. Identifies the training and development needs of subordinated direct reports and team members. Follows the subordinates' professional development and provides assistance for using newly acquired knowledge. Develops short to mid-term plans for development of the organization. Proposes and applies measures for improving the team's performance, organizational flexibility, diversity, succession planning, coaching, change management and personal growth. "
66,Plant Manager ( Agadir ) , Confidentiel ,30/08/2023," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Leads the production facility. Sets procedures, technical standards and methods, and priorities. Leads the direct reports (managers and/or employees) in the respective area of responsibility. Ownership of short to mid-term execution of functional strategy and the operational direction of the unit Accountable for planning, management and development of service delivery according to defined objectives and KPIs on location level Defines and steers budget for activities in area of responsibility Implements policies and procedures; ensures policies, practices and procedures are understood and followed by direct reports, customers and stakeholders. Supports programs/projects in regards to activity within the location Organizes the following functions in the day-to day-activities in the plant: Country HR, VCM, Production & Infrastructure, QA & SHE staff Plans the regular team activity in order to cover all the activity stages and reply to all the requests received. Identifies the risks, analyzes them and identifies the solutions for their reduction /removal Actively searches and identifies potential in are of responsibility, offers active consulting Functional contact person for colleagues in own area of responsibility, for related interfaces in specific topics and for various special/non-standard topics Acts as the first contact person in field of activity Managing multiple teams led by Product Section Mgrs / Segment Leaders/HO Maintenance and or Team Leaders. Team's monitoring and guidance in the current activity, in the problem solving processes, achievement of the objectives and fulfillment of the tasks, and own interventions whenever necessary. Defines the objectives, action plans and team members' responsibilities. Provides clear instructions, monitoring and evaluation of the results. Identifies the training and development needs of subordinated and team members. Follows the subordinates' professional development and provides assistance for using newly acquired knowledge. Develops short to mid-term plans for development of the location Proposes and applies measures for improving the team's performance, organizational flexibility, diversity, succession planning, coaching, change management and personal growth. "
67,TrÃ©sorier Immobilier, Confidentiel ,12/07/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le trésorier immobilier sera responsable de la gestion des finances et des opérations immobilières de l'entreprise. Le candidat retenu devra posséder une solide expérience en finance, une connaissance approfondie du marché immobilier et une grande capacité à travailler en équipe. "
68,ChargÃ© ( E ) Dâaccueil, Confidentiel ,12/07/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié, La mission du Chargé(e) d’accueil est d'assurer un accueil chaleureux et professionnel des visiteurs et des clients de l'entreprise. Il est également chargé d'effectuer des tâches administratives telles que la facturation et la réception téléphonique. Son rôle principal est de garantir une première impression positive de l'entreprise et de fournir un service clientèle de qualité. 
69,Technico Commercial Food, Confidentiel ,23/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Assurer la promotion et la vente des produits & intrants Food et autres services auprès d'entreprises dont il/elle a la charge de fidéliser, conformément à la politique commerciale définie par la direction "
70,Technico-commercial DÃ©tergence, Confidentiel ,22/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Constitution d’un portefeuille de clients à travers une analyse du marché & un ciblage adéquat. Prospection & démarchage des clients potentiels Vente : analyse & formulation des besoins spécifiques du client, proposition commerciale adaptée (faisabilité, planning et coûts), négociation, réalisation, suivi des commandes & facturation. Assistance technique & commerciale Recouvrement de la clientèle Participation à la politique commerciale de l’entreprise : veille stratégique, plans d’actions commerciales, etc…. "
71,Technico-commercial En Plasturgie, Confidentiel ,22/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Vous êtes l’interlocuteur (rice) privilégié(e) des clients et suivez l'avancement des ventes des produits plastiques injectés sur le périmètre national. Vous êtes garant(e) de la relation commerciale en veillant au respect du cahier des charges. 
72,Technico-commercial Pharma, Confidentiel ,22/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Travailler à la prospection et à la conquête de nouveaux clients ; D’apporter des solutions adaptées en appliquant les consignes Qualité Sécurité Environnement, et en intégrant un cadre réglementaire strict; D’être proactif, de conseiller et accompagner les clients dans la définition de leur besoin, notamment en contribuant à l’identification des déchets (échantillonnages); Etablir les offres commerciales, et les relancer pour les transformer en commandes; Elargir nos services sur les besoins complémentaires clients ; Renseigner, mettre à jour et exploiter un fichier clients ; Suivre les dossiers dans leur réalisation technique; Extraire des bilans, les présenter aux clients, ou en interne ; Réaliser des comptes rendus d’activités vers le responsable commercial. "
73,Responsable Commercial Pharma, Confidentiel ,22/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Développer les ventes Assurer le développement des produits à destination de l’industrie de la pharma. Contacter les clients existants et trouver de nouveaux clients au Maroc Visiter régulièrement les clients et présenter les produits et nouveautés Identifier et répondre aux besoins spécifiques des clients Assurer un accompagnement technique aux clients Prendre en charge la négociation des propositions commerciales Réceptionner et délivrer les échantillons aux clients Repérer de nouvelles opportunités et les présenter aux clients Fournir un planning et des rapports de visite hebdomadaires Gestion d’une équipe de 2 technico-commerciaux et une assistante commerciale 
74,Consultant Avant-vente ( Tanger ) , Confidentiel ,19/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," En tant qu’Ingénieur avant-vente, vous aurez la responsabilité de dimensionner les réponses techniques aux demandes de nos clients. Ces demandes requièrent une maitrise des offres du marché IT sur les serveurs, la vidéosurveillance, le réseau et la Cyber sécurité. Vous serez responsable de la qualité de nos réponses techniques et aussi du chiffre d'affaires généré par ses solutions. "
75,Planneur StratÃ©gique ConfirmÃ©, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Évaluation approfondie de la marque et de l'industrie du client pour développer une stratégie de marketing personnalisée Collaboration avec les équipes créatives pour concevoir des campagnes publicitaires cohérentes et efficaces Analyser les données pour comprendre les tendances du marché et les comportements des consommateurs Développement de plans de médias pour les campagnes publicitaires en ligne et hors ligne Mettre en œuvre et suivre les stratégies de marketing pour s'assurer de leur efficacité Préparation de présentations et de rapports pour les clients sur les performances des campagnes Communication avec les différents départements pour s'assurer que les stratégies de marketing sont exécutées de manière cohérente. 
76,Media Planner , Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Analyser les objectifs de la campagne publicitaire et les besoins de l'entreprise. Effectuer des recherches sur le marché et les audiences cibles pour identifier les opportunités de médias appropriées. Développer des stratégies de médias intégrées, en recommandant les meilleurs canaux publicitaires (télévision, radio, presse écrite, numérique, etc.). Élaborer des plans médias détaillés, en tenant compte du budget alloué et des contraintes de timing. Négocier les tarifs et les espaces publicitaires avec les fournisseurs de médias, en veillant à obtenir le meilleur retour sur investissement. Collaborer avec les équipes internes et les agences externes pour concevoir des messages publicitaires cohérents et percutants. Assurer le suivi et l'optimisation des campagnes publicitaires en utilisant des indicateurs clés de performance pertinente. Analyser les résultats des campagnes et fournir des rapports détaillés sur les performances et les recommandations d'amélioration. Suivre les tendances du marché et les évolutions technologiques dans le domaine des médias pour rester à jour avec les meilleures pratiques. "
77,Directeur Artistique ConfirmÃ©, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Définir la stratégie de marque visuelle d'une entreprise ou d'une organisation. Créer des concepts visuels pour les campagnes publicitaires, les événements, les produits, etc. Travailler avec les équipes de création pour développer et produire des designs cohérents avec la stratégie de marque. Superviser la qualité graphique des projets, y compris la typographie, la couleur, la mise en page et les images. Collaborer avec les équipes marketing et commerciales pour s'assurer que les projets répondent aux objectifs de vente. Maintenir une veille sur les tendances de la création et de la technologie pour s'assurer que les designs sont pertinents et innovants. Diriger les talents créatifs et superviser les budgets de production. "
78,Community Manager, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Créer et publier du contenu pertinent et attractif sur les différentes plateformes de médias sociaux (Facebook, Twitter, Instagram, LinkedIn, etc.) pour accroître la visibilité de la marque. Planifier et programmer les publications, en tenant compte des meilleurs moments pour atteindre le public cible. Interagir avec les membres de la communauté, répondre à leurs commentaires, messages et questions de manière professionnelle et opportune. Stimuler les conversations et susciter l'engagement en posant des questions, en organisant des concours ou en partageant du contenu interactif. Superviser le processus de création et garantir la qualité artistique des projets. Créer des concepts visuels, des maquettes et des prototypes pour les campagnes publicitaires, les supports marketing, les sites web, les applications mobiles, etc. Surveiller et analyser les mentions de la marque sur les médias sociaux et d'autres plateformes en ligne. Répondre aux commentaires négatifs ou aux problèmes signalés par les utilisateurs de manière proactive et en collaboration avec les équipes concernées. Identifier et établir des relations avec les influenceurs et les leaders d'opinion pertinents dans l'industrie. Collaborer avec eux pour organiser des partenariats, des événements ou des collaborations qui renforcent la notoriété de la marque et élargissent la communauté en ligne. Suivre les performances des différentes campagnes et initiatives sur les réseaux sociaux à l'aide d'outils d'analyse. Préparer des rapports périodiques sur l'engagement, la croissance de la communauté, les tendances du marché et les suggestions d'amélioration. "
79,Concepteur RÃ©dacteur ConfirmÃ©, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Élaborer et mettre en œuvre des stratégies de contenu pour divers supports de communication, tels que les sites web, les réseaux sociaux, les newsletters, les publicités en ligne, les brochures, etc. Créer du contenu de qualité, informatif et accrocheur, en utilisant des techniques de rédaction telles que les titres accrocheurs, les paragraphes concis, les listes, etc. Travailler en étroite collaboration avec les designers, les développeurs, les chefs de produit, etc. pour s'assurer que le contenu est cohérent avec la stratégie de marque et les objectifs de l'entreprise. Rechercher et utiliser les mots-clés appropriés pour améliorer le référencement naturel du contenu. Écrire des scripts pour les vidéos, les podcasts, les présentations, etc. Assurer la qualité et la grammaire du contenu publié. Surveiller les tendances et les évolutions du marché pour s'assurer que le contenu est à jour et pertinent. "
80,Account Manager, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Développer et entretenir des relations solides avec les clients existants. Comprendre les besoins des clients et proposer des solutions adaptées. Assurer la satisfaction des clients en répondant à leurs demandes et préoccupations de manière proactive. Identifier de nouvelles opportunités de vente et de croissance chez les clients existants. Prospecter de nouveaux clients et développer un portefeuille de clients diversifié. Participer à des présentations et négociations commerciales pour conclure des contrats. Suivre les performances des comptes clients et analyser les tendances du marché. Préparer des rapports réguliers sur les activités, les ventes et les résultats. Identifier les domaines d'amélioration et recommander des mesures correctives. "
