,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
778,Secrétaire de direction, Services fournis principalement aux entreprises ,1,12/01/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,Salaire entre 3500 et 4000,Bac + 2,(6 mois - 1 an),"Anglais : Moyen, Francais : Bon",BAC+2 En secrétariat ou autre avec un bon niveau en Français et une experience de minimum un an.
779,Operateur de production de l’industrie automobile, Industrie automobile ,30,12/01/2024,non spécifié, KENITRA ,CI,"Multinationale dans le secteur automobile basée à Kenitra, recrute des Opérateurs/Opératrices.",Baccalauréat,non spécifié,non spécifié,non spécifié
780,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,200,12/01/2024,15/01/2024, KENITRA ,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,Francais : Moyen,non spécifié
781,Employé de gestion administrative, Autres ,25,12/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,Agent de credit,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,Francais : Bon,non spécifié
782,Secrétaire de direction," Assainissement, voirie et gestion des déchets ",1,12/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,1 Secrétaire de direction,"Technicien ,Assistant (e) de direction ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
783,Responsable restauration/gérant, Hôtellerie et restauration ,1,12/01/2024,16/01/2024, EL JADIDA ,CDD,non spécifié,non spécifié,non spécifié,Francais : Courant,non spécifié
784,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,2,12/01/2024,non spécifié, TIZNIT ,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
785,Aide agricole polyvalent ou saisonnier," Agriculture, chasse ",20,11/01/2024,non spécifié, OUARZAZATE ,CDD,". Lieu de travail : · Exploitations agricoles basées à la région de Dakhla (rayon de 100KM) · Salaire journalier de 82,61 Dhs Net+8,47dhs de prime de poste+ Prime de Présence et de Bonne Conduite (voir détail) o 1 ère et 2ème Quinzaine = 03 Dhs/Jr o 3 -ème et 4 -ème Quinzaine = 08 Dhs/jr o A partir de la 5 -ème Quinzaine = 15 Dhs/jr · Contrat de Travail : Saisonnier, une journée de repos · Couverture sociale : Assurance maladie obligatoire, Assurance contre les accidents de travail. · Hébergement : Hébergement gratuit dans les secteurs d’habitations au niveau des fermes · Transport : Prise en charge premier déplacement de l’ouvrier de sa ville de résidence à destination du site d’affectation.",Sans diplôme,(moins de 6 mois),Arabe : Moyen,non spécifié
786,Résponsable Technique, Conseil en systèmes informatiques ,1,10/01/2024,non spécifié, CASA-ANFA SUPERIEUR,CDI,"- Collaborer avec des équipes pluridisciplinaires, notamment la gestion des produits, l'ingénierie et les ventes, pour définir et livrer des produits et projets SIG, produits SFM et photogrammétrie innovants. - Effectuer des recherches de marché et des analyses concurrentielles pour identifier les tendances du marché, les besoins des clients et les opportunités d'amélioration des produits. -Piloter le cycle de vie complet du produit, de la conception au lancement, en passant par la définition des exigences, la conception, les tests et la mise en œuvre. - Développer et maintenir une compréhension approfondie des aspects techniques de nos produits, notamment le développement de logiciels, la gestion des données et les capacités d'analyse -Gérer une équipe de développeurs et de concepteurs talentueux pour améliorer l'interface utilisateur (UI) et l'expérience utilisateur (UX) de nos plateformes SIG, produits SFM et photogrammétrie. - Coordonner et communiquer avec les parties prenantes, y compris les clients et les équipes internes, pour garantir l'alignement du projet et sa réussite. - Animer des formations techniques, des conférences et des ateliers sur les produits et les technologies SIG.",non spécifié,non spécifié,non spécifié,non spécifié
787,Vendeur en produits frais (commerce de détails, Autres ,20,10/01/2024,22/01/2024, MARRAKACH - MENARA,CDI,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
788,Aide agricole polyvalent ou saisonnier," Agriculture, chasse ",50,10/01/2024,non spécifié, ASSA ZAG ,CDD,POSTE BASE à DAKHLA,non spécifié,non spécifié,non spécifié,non spécifié
789,Contrôleur de trafic (voyageurs), Services fournis principalement aux entreprises ,50,10/01/2024,non spécifié, CASA-NOUACER,CI,non spécifié,Bac + 2,(moins de 6 mois),Anglais : Courant,non spécifié
790,Agent d'escale, Services fournis principalement aux entreprises ,50,10/01/2024,non spécifié, TANGER-ASSILAH,CI,Assurer le check-in l'orientation et l'embarquement des passagers ..,Bac + 2,non spécifié,Anglais : Courant,non spécifié
791,Agent d'escale, Services fournis principalement aux entreprises ,50,10/01/2024,non spécifié, CASA-NOUACER,CI,non spécifié,Bac + 2,(moins de 6 mois),Francais : Moyen,non spécifié
792,Employé de gestion administrative, Auxiliaires financiers et d'assurance ,2,10/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Francais : Bon, Arabe : Langue maternelle, Anglais : Moyen",non spécifié
793,Commercial/Commerciale, Services personnels ,1,10/01/2024,non spécifié, AGADIR,CDI,non spécifié,"Bac + 2 ,Economie et commerciale ",(6 mois - 1 an),"Francais : Bon, Tachelhit : Bon, Arabe : Langue maternelle",non spécifié
794,Opérateur de finition confection, Industrie textile ,100,10/01/2024,non spécifié, SETTAT ,CI,Opérateur en covertures,Certificat de spécialisation professionnelle,non spécifié,"Arabe : Bon, Francais : Notions",non spécifié
795,Employé de gestion administrative, Autres ,1,10/01/2024,non spécifié, CASABLANCA-ANFA,CDD,"Missions du poste : assurer un soutien administratif et financier efficace pour faciliter le fonctionnement quotidien de l’entreprise Tâches / Activités classement des documents ;répondre aux appelés téléphoniques, comptabilisation des opérations )achats ventes, banques),;préparation et rédaction des documents, autorisation devis ;factures ;bon de livraison….,gérer la coordination interne et assurer les échanges d informations entre les départements ,négocier les devis, organiser des planning de travail ","Diplôme du 2ème cycle universitaire ,Gestion ",(2 ans - 3 ans),"Francais : Bon, Anglais : Moyen",non spécifié
796,Enseignant des écoles, Education ,25,10/01/2024,non spécifié, SIDI YAHYA (M),CI,non spécifié,Baccalauréat,non spécifié,"Francais : Bon, Arabe : Courant",non spécifié
797,Electricien du bâtiment et des travaux publics, Postes et télécommunications ,6,10/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,Câblage des armoires électriques ,"Technicien ,Electricité ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
798,Standardiste, Transports terrestres ,1,10/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
799,Cadre technique de la production, Industrie automobile ,6,10/01/2024,01/02/2024, TANGER-FAHS-ANJRA,CDI,"Fabrication, découpe et traitement manuels semi automatiques de fibres de carbone, pour la production et le traitement de composants pour l'industrie automobile ","Technicien supérieur ,Electromécanique des systèmes automatisés ",non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
800,Consultant technique infrastructure, Services fournis principalement aux entreprises ,1,10/01/2024,non spécifié, CASABLANCA-ANFA,CDI,"-Planifier, coordonner et superviser l’exécution des projets techniques. -Allouer les ressources nécessaires et surveiller l’avancement des tâches. -Identifier et gérer les risques et les problèmes techniques. -Assurer le respect des délais et budgets impartis. -Définir les objectifs individuels et collectifs et évaluer les performances. -Participer à la conception et au développement des produits ou solutions techniques. -Identifier les opportunités d’innovation et de nouvelles technologies. -Coordonner avec les équipes de support pour résoudre les problèmes techniques des clients. - Suivre les évolutions technologiques et les tendances du secteur.Haut du formulaire ",non spécifié,non spécifié,non spécifié,non spécifié
801,Barman, Autres ,8,10/01/2024,01/02/2024, MARRAKACH - MENARA,CDI,non spécifié,"Technicien spécialisé ,Service de restauration ",non spécifié,"Francais : Bon, Anglais : Moyen",non spécifié
802,Masseur kinésithérapeute, Santé et action sociale ,1,10/01/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDD,non spécifié,"Technicien spécialisé ,Kinésithérapeute ",(1 an - 2 ans),"Francais : Bon, Arabe : Bon",non spécifié
803,Aide comptable, Auxiliaires financiers et d'assurance ,3,09/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Diplôme du 2ème cycle universitaire ,Sciences économiques et de Gestion ",non spécifié,"Francais : Bon, Anglais : Moyen",non spécifié
804,Monteur câbleur en construction électrique, Autres ,2,09/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,non spécifié,"Technicien spécialisé ,Electricité de maintenance industrielle ",non spécifié,"Arabe : Langue maternelle, Francais : ",non spécifié
805,Electricien de maintenance, Services fournis principalement aux entreprises ,40,09/01/2024,01/02/2024, OUAD EDDAHAB,CDD,-Expérience minimum d'un an dans le domaine,Bac + 2,(1 an - 2 ans),non spécifié,non spécifié
806,Operateur de production de l’industrie automobile, Industrie automobile ,300,09/01/2024,non spécifié, BERRECHID,Choix Multiple,"• Organiser la production au niveau du secteur (Préparation /Coupe / Assemblage) en termes de moyens, matières et flux de fils • Organiser le travail au niveau des lignes (Préparation /Coupe / Assemblage) et superviser le niveau de qualité • Respecter et faire respecter le Code Ethique de Sews Cabind Maroc • Respecter les normes et standards de HSE en vigueur à Sews Cabind Maroc • ….. ","Certificat de spécialisation professionnelle ,Autres Certificats de spécialisation en industrie ",non spécifié,"Arabe : Courant, Francais : Notions",non spécifié
807,Employé de gestion administrative, Assurance ,20,09/01/2024,non spécifié, PLUSIEURS VILLES,CI,Réception et traitement des dossiers Automobile,"Brevet de technicien supérieur (B.T.S) ,Produits d’assurance ",(6 mois - 1 an),Francais : Bon,non spécifié
808,"Agriculteur (grandes cultures) """, Industries alimentaires ,1,09/01/2024,non spécifié, EL KELAA DES SRAGHNA ,CDI,non spécifié,"Technicien spécialisé ,Tech sup en technique agricole ",(2 ans - 3 ans),Arabe : Bon,non spécifié
809,Electricien de maintenance, Industries alimentaires ,1,09/01/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,non spécifié,"Technicien ,Electricité de maintenance industrielle ",(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
810,Employé de bureau, Industries alimentaires ,1,09/01/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",(1 an - 2 ans),"Arabe : Bon, Francais : Bon",non spécifié
811,Agent Bureau d’études CAO, Services fournis principalement aux entreprises ,150,09/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,"Vous réaliserez les plans d'installation, les schémas de câblage et d'approvisionnement des futures installations à partir de logiciels de Conception Assistée par Ordinateur",Technicien,non spécifié,non spécifié,non spécifié
812,Ouvrier de fabrication de chocolateries et de confiserie, Industries alimentaires ,30,09/01/2024,non spécifié, CASA-NOUACER,CI,non spécifié,Baccalauréat,non spécifié,Arabe : Bon,non spécifié
813,Opérateur du son, Recherche et développement ,1,09/01/2024,non spécifié, TANGER-ASSILAH,CDI,"Missions du poste : Prendre en compte les demandes d'assistance technique (ticket ou téléphone) provenant de l'expert technique du concessionnaire concernant un problème de réparation de véhicule/ Qualifier et guider le diagnostic posé par l'expert technique du concessionnaire. Taches : • Valider la demande ou la rejeter si elle n'est pas justifiée (processus de diagnostic non appliqué, processus de réparation disponible pour les concessionnaires) • Rechercher la solution dans les bases de données après-vente et partager la solution avec l'agent technique du concessionnaire • Dans certains cas, appeler l'agent du concessionnaire pour accélérer la résolution du problème ou améliorer la compréhension mutuelle • Se concentrer sur le délai imparti (24h pour diagnostiquer le problème, 24h pour résoudre le problème) et la satisfaction de l'agent technique du concessionnaire concernant le service de support technique donné Escalade au chef de groupe du domaine pour obtenir de l'aide dans la résolution du problème • Proposer aux chefs de groupe des éléments pour résoudre de nouveaux problèmes ",non spécifié,non spécifié,non spécifié,non spécifié
814,Ajusteur monteur, Travail des métaux ,25,09/01/2024,non spécifié, CASA-NOUACER,CI,non spécifié,"Technicien spécialisé ,Tech en chaudronnerie aéronautique ",(6 mois - 1 an),"Francais : Bon, Anglais : Moyen",non spécifié
815,Opérateur de saisie," Pêche, aquaculture ",1,09/01/2024,non spécifié, OUAD EDDAHAB,CDD,non spécifié,Bac + 2,non spécifié,Francais : Bon,non spécifié
816,Responsable achats et sourcing ," Pêche, aquaculture ",1,09/01/2024,non spécifié, OUAD EDDAHAB,CDD,non spécifié,non spécifié,non spécifié,Francais : Bon,Bac+2 (la comptabilité et gestion )
817,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,1,09/01/2024,non spécifié, EL JADIDA ,CDI,non spécifié,"Technicien ,Réception d'hôtel ",(1 an - 2 ans),Francais : Bon,non spécifié
818,Agent de sécurité et de surveillance, Services personnels ,20,09/01/2024,non spécifié, TANGER-ASSILAH,CDD,non spécifié,"Sans diplôme ,Lycée (année terminale, sans diplôme obtenu) ",non spécifié,Francais : Moyen,non spécifié
819,Aide agricole polyvalent ou saisonnier, Services fournis principalement aux entreprises ,50,09/01/2024,non spécifié, MARRAKACH - MENARA,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
820,Régleur de machines de transformation (matières plastiques et caoutchouc), Industrie du caoutchouc et des plastiques ,3,09/01/2024,non spécifié, BEN SLIMANE ,CI,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
821,Electricien du bâtiment et des travaux publics," Production et distribution d'électricité, de gaz et de chaleur ",10,09/01/2024,non spécifié, RHAMNA,CDD,Contrat d'intérim Salaire proposé : SMIG horaire,"Diplôme de qualification professionnelle ,Electricien d'installation ",(6 mois - 1 an),non spécifié,non spécifié
822,, Recherche et développement ,1,09/01/2024,05/02/2024, CASABLANCA-ANFA,CDD, - Communication Bilingue : Communiquer avec les clients en français et en anglais. Rédiger et traduire des documents et des communications dans les deux langues. - Gestion de Projets : Planifier et suivre l'avancement des projets. Coordonner les tâches et les échéances avec les différentes parties prenantes. -Utilisation de Microsoft Office : Créer et gérer des documents avec Word. Utiliser Excel pour la saisie de données et l'analyse de tableaux. Préparer des présentations efficaces avec PowerPoint. -Support Client : Répondre aux demandes des clients et résoudre les problèmes de manière efficace. Maintenir une communication régulière et professionnelle avec les clients.,non spécifié,(1 an - 2 ans),"Francais : Courant, Arabe : Langue maternelle, Anglais : Bon","Microsoft office, Communications "
823,Responsable comptabilité," Edition, imprimerie, reproduction ",1,09/01/2024,non spécifié, OUAD EDDAHAB,CDD,non spécifié,"Technicien spécialisé ,Comptabilité et Gestion ",non spécifié,Francais : Bon,non spécifié
824,Menuisier du Bâtiment (bois), Commerce de gros et intermédiaires du commerce ,2,09/01/2024,non spécifié, CASA-NOUACER,CI,non spécifié,"Diplôme de qualification professionnelle ,Menuiserie d'art ",non spécifié,non spécifié,non spécifié
825,"Opérateur sur machine et appareils de fabrication des industries agro-alimentaires. """, Autres ,10,09/01/2024,non spécifié, OUJDA ANGAD UNIVERSITAIRE,CI,non spécifié,Baccalauréat,non spécifié,Francais : Bon,non spécifié
826,Secrétaire bureautique spécialisé, Santé et action sociale ,1,09/01/2024,non spécifié, AGADIR,CDI,non spécifié,"Technicien ,Assistant (e) de direction ",(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Bon",non spécifié
827,"Agent main de finition, contrôle et conditionnement (industrie agro-alimentaire)", Industries alimentaires ,2,09/01/2024,non spécifié, BEN SLIMANE ,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
828,Technicien d'études du bâtiment et des travaux publics, Autres ,3,09/01/2024,29/01/2024, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Dessin de bâtiment ",non spécifié,Francais : Bon,non spécifié
829,Technicien de Maintenance Informatique, Conseil en systèmes informatiques ,1,09/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,Faire de l'assistance informatique par Email en Espagnol,"Technicien ,Gestion des entreprises ",non spécifié,"Espagnol : Courant, Francais : Courant",non spécifié
830,Cuisinier, Autres ,18,09/01/2024,non spécifié, CASABLANCA-ANFA,CI,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
831,Secrétaire de direction, Auxiliaires financiers et d'assurance ,1,09/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
832,Agent d'encadrement de produit électrique ou électronique, Services fournis principalement aux entreprises ,1,08/01/2024,01/02/2024, KENITRA ,CDD,non spécifié,"Ingénieur ,Génie de systèmes électronique & automatique ",(6 mois - 1 an),Francais : Bon,non spécifié
833,Enseignant des écoles, Education ,1,08/01/2024,15/01/2024, EL JADIDA ,CDI,non spécifié,Bac + 2,(6 mois - 1 an),Anglais : Courant,non spécifié
834,Ouvrier de fabrication des industries alimentaires, Services fournis principalement aux entreprises ,4,08/01/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,Technicien,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon",non spécifié
835,Téléconseiller, Postes et télécommunications ,10,08/01/2024,15/01/2024, TETOUAN ,Choix Multiple,"Vous êtes passionné par le contact client et vous parlez espagnol couramment? Une société basée à Tétouan chercher des Téléconseillers en Réception d'appel ou en Service clientèle : Un salaire fixe à partir de 4400 DH jusqu'à 12000 dh -Primes individuelles et globales en fonction de la performance - Incitations hebdomadaires en espèces - Prime de location 6 premiers mois pour l'agent de Tanger/Nador/Hociema....!! - Contrat à durée indéterminée, déclaration CNSS - Un excellent environnement de travail",Bac + 2,non spécifié,"Arabe : Langue maternelle, Espagnol : Bon",non spécifié
836,Agent de montage-assemblage de la construction mécanique, Industries alimentaires ,2,08/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CDD,non spécifié,Technicien spécialisé,non spécifié,non spécifié,non spécifié
837,Electricien du bâtiment et des travaux publics," Production et distribution d'électricité, de gaz et de chaleur ",20,08/01/2024,non spécifié, RHAMNA,CDD,Contrat d'intérim,"Diplôme de qualification professionnelle ,Electricien d'installation ",non spécifié,non spécifié,non spécifié
838,Employé polyvalent de restauration , Hôtellerie et restauration ,2,06/01/2024,non spécifié, AGADIR,CDI,non spécifié,"Technicien ,Service de restauration ",(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
839,Monteur câbleur en électronique., Fabrication de machines et appareils électriques ,150,05/01/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
840,Employé de libre service, Commerce de gros et intermédiaires du commerce ,30,05/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : Courant, Francais : Moyen",non spécifié
841,Agent d'escale, Services fournis principalement aux entreprises ,20,05/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CI,non spécifié,"Diplôme du 2ème cycle universitaire ,Etudes anglaises ",non spécifié,"Arabe : Bon, Francais : Moyen",non spécifié
842,Responsable logistique, Services fournis principalement aux entreprises ,1,05/01/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Bac + 3, bachelor ,Achats et logistique ",non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
843,Secrétaire bureautique polyvalent, Santé et action sociale ,1,05/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien ,Techniques d'administration ",non spécifié,"Francais : Bon, Arabe : Courant",non spécifié
844,Employé de gestion administrative," Agriculture, chasse ",1,05/01/2024,non spécifié, EL JADIDA ,CI,non spécifié,Technicien spécialisé,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Bon",non spécifié
845,Animateur de vente," Activités récréatives, culturelles et sportives ",25,05/01/2024,non spécifié, CASABLANCA-ANFA,CI,non spécifié,Baccalauréat,non spécifié,Francais : Moyen,non spécifié
846,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,40,05/01/2024,non spécifié, SKHIRATE TEMARA ,CDD,Date début : immédiat * Type de contrat : CDD Type horaire : 12 HEURS spécial □ Si spécial lequel : * Lieu de travail : Temara/Skhirate/ain atiq Salaire l proposé : Smig ,Baccalauréat,non spécifié,Francais : Moyen,non spécifié
847,Employé de gestion administrative, Santé et action sociale ,2,05/01/2024,non spécifié, RABAT AGDAL,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",(6 mois - 1 an),Francais : Courant,non spécifié
848,Enseignant des écoles, Activités associatives ,96,05/01/2024,non spécifié, EL JADIDA ,CDD,non spécifié,Bac + 2,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
849,Conducteur livreur, Services personnels ,2,05/01/2024,15/01/2024, CASABLANCA-ANFA,CDD,non spécifié,Baccalauréat,(3 ans - 5 ans),"Francais : Moyen, Arabe : Courant",polyvalent
850,Chargé d’études en agriculture, Activités extra-territoriales ,1,05/01/2024,non spécifié, EL JADIDA ,CDD,non spécifié,Technicien spécialisé,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
851,Serveur, Hôtellerie et restauration ,1,04/01/2024,non spécifié, OUARZAZATE ,CI,non spécifié,"Technicien ,Service de restauration ",(6 mois - 1 an),"Francais : Bon, Anglais : Moyen, Arabe : Bon",non spécifié
852,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,04/01/2024,non spécifié, BERRECHID,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,"Francais : Moyen, Arabe : Langue maternelle",non spécifié
853,Commercial/Commerciale, Industries alimentaires ,1,04/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CI,non spécifié,"Bac + 3, bachelor ,Marketing et communication ",non spécifié,"Arabe : Bon, Francais : Moyen, Anglais : Moyen",non spécifié
854,Employé de gestion administrative, Industries alimentaires ,1,04/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CDD,non spécifié,"Technicien spécialisé ,Assistant en gestion administrative et comptable ",non spécifié,"Arabe : Bon, Francais : Moyen",non spécifié
855,Cuisinier, Autres ,2,04/01/2024,non spécifié, SKHIRATE TEMARA ,CI,non spécifié,"Technicien spécialisé ,Service de restauration ",(1 an - 2 ans),"Francais : Courant, Anglais : Bon",non spécifié
856,Serveur, Autres ,2,04/01/2024,non spécifié, SKHIRATE TEMARA ,CI,non spécifié,"Technicien ,Service de restauration ",non spécifié,"Anglais : Moyen, Francais : Bon",non spécifié
857,Secrétaire de direction, Autres ,1,04/01/2024,02/02/2024, RABAT AGDAL,CDD,"Communication téléphonique et par courriel, utilisation de l'ordinateur, classement...","Technicien spécialisé ,Assistant (e) de direction ",(2 ans - 3 ans),"Francais : Courant, Arabe : Langue maternelle, Anglais : Bon","Word, excel, powerpoint, outlook, "
858,Commercial/Commerciale, Commerce de détail et réparation d'articles domestiques ,2,04/01/2024,non spécifié, CASABLANCA-ANFA,CI,non spécifié,"Technicien spécialisé ,Commerce international ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
859,"Agriculteur (grandes cultures) """," Agriculture, chasse ",20,04/01/2024,non spécifié, Youssoufia,CDD,"Salaire mensuel : 82,61 Dhs Net+8,47dhs de prime de poste+ Prime de Présence et de Bonne Conduite (voir détail) o 1 ère et 2ème Quinzaine = 03 Dhs/Jr o 3 -ème et 4 -ème Quinzaine = 08 Dhs/jr o A partir de la 5 -ème Quinzaine = 15 Dhs/jr Afin de garder la prime de présence il ne faut pas s'absenter. Couverture sociale (CNSS, AMO, IPE) Carte de pointage personnel et électronique Déclaration CNSS & Bulletins de paie Un jour de repos hebdomadaire 1.5 j de congé/mois Lieu de travail: Dakhla ",Sans diplôme,non spécifié,non spécifié,non spécifié
860,Employé de gestion administrative, Services fournis principalement aux entreprises ,1,04/01/2024,15/01/2024, MEDIOUNA,CI,"*Accueillir les clients, fournisseurs, les diriger, noter les messages et planifier les rendez-vous, *Trier, distribuer, affranchir, enregistrer le courrier et s'occuper de la gestion des messages électroniques, *Rédiger et mettre en forme les documents, les faire suivre et les ranger, *Vérifier l'état des stocks, évaluer les besoins en approvisionnement et définir les commandes à passer, *Actualiser des données de suivi d'activité de la structure (tableaux de bord, tableaux de résultats...)","Bac + 2 ,Economie et commerciale ",(moins de 6 mois),Francais : Bon,non spécifié
861,Magasinier d'entrepôt, Services fournis principalement aux entreprises ,1,04/01/2024,15/01/2024, MEDIOUNA,CI,"- Réceptionner des produits - Vérifier la conformité de la livraison - Réaliser le prélèvement de produits selon les instructions de préparation de commande . - Charger des marchandises, des produits - Acheminer des marchandises en zone d'expédition, de stockage ou de production - Renseigner les supports de suivi de commande","Bac + 2 ,Economie et commerciale ",(moins de 6 mois),Francais : Bon,non spécifié
862,Formateur , Autres ,1,04/01/2024,non spécifié, TIZNIT ,CDI,non spécifié,non spécifié,non spécifié,"Allemand : Courant, Francais : Courant, Arabe : Courant",non spécifié
863,Secrétaire de direction, Autres ,1,04/01/2024,non spécifié, MOHAMMEDIA ,CI,"Secrétaire polyvalente, présentable et titulaire d’un Bac + 2 qui maitrise les logiciels de bureautique. Tâches / Activités : Différents travaux de secrétariat.","Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Arabe : , Francais : ",non spécifié
864,Aide agricole polyvalent ou saisonnier," Agriculture, chasse ",20,03/01/2024,non spécifié, OUAD EDDAHAB,CDD,"• Salaire journalier de 82,61 Dhs Net+8,47dhs de prime de poste+ Prime de Présence et de Bonne Conduite ( 1 ère et 2ème Quinzaine = 03 Dhs/Jr, 3ème et 4ème Quinzaine = 08 Dhs/jr, A partir de la 5 -ème Quinzaine = 15 Dhs/jr) • Contrat de Travail : Saisonnier, une journée de repos • Couverture sociale : Assurance maladie obligatoire, Assurance contre les accidents de travail. • Hébergement : Hébergement gratuit dans les secteurs d’habitations au niveau des fermes • Transport : Prise en charge premier déplacement de l’ouvrier de sa ville de résidence à destination du site d’affectation. Lieu de travail : • Exploitations agricoles basées à la région de Dakhla (rayon de 100KM) ",non spécifié,non spécifié,Arabe : ,"Expérience dans les travaux agricoles / Etre apte et capable d'effectuer des tâches physiquement exigeantes, notamment la plantation, la taille, la récolte, etc /Disponibilité variable en fonction des besoins de l'exploitation /Résistance à la Chaleur due aux travaux sous serres et prise des mesures pour prévenir les problèmes liés à la chaleur / Discipline et Respect des Consignes de sécurité, les protocoles de travail et les pratiques agricoles établies par l'exploitation."
865,Secrétaire de direction, Services fournis principalement aux entreprises ,1,03/01/2024,non spécifié, AGADIR,CDI,non spécifié,"Technicien spécialisé ,Comptabilité et Gestion ",non spécifié,Francais : Bon,non spécifié
866,Secrétaire de direction, Santé et action sociale ,1,03/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CI,non spécifié,"Technicien spécialisé ,Secrétariat de direction ",non spécifié,"Arabe : Bon, Francais : Bon, Tachelhit : Bon",non spécifié
867,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,03/01/2024,non spécifié, BERRECHID,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
868,Employé de gestion administrative, Services fournis principalement aux entreprises ,15,03/01/2024,non spécifié, CASABLANCA-ANFA,CDD,non spécifié,"Diplôme du 2ème cycle universitaire ,Sciences économiques et de Gestion ",(6 mois - 1 an),"Arabe : Bon, Francais : Bon",non spécifié
869,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,20,03/01/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Baccalauréat ,Lettres originelles ",non spécifié,Francais : Moyen,non spécifié
870,Vendeur/Vendeuse, Autres ,1,03/01/2024,non spécifié, RABAT IRFANE,CI,non spécifié,"Technicien spécialisé ,Action commerciale et Marketing ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Bon",non spécifié
