,Societés,Postes,Adresses,Details de poste,Date de publication,Location,Postes proposés,Secteur d'activité,Fonctions,Expérience requise,Niveau d’étude demandé,Type de contrat proposé,Profil recherché,Decsription d'entreprise,Traits de personnalité
324,MAROC,Accounts Payable Accountant-Fluent English (H/F) ,"Immeuble LA COMANAV, 7 Boulevard la résistance","Poste :
As part of our expansion, we are recruiting an Accounts Payable Accountant (H/F) who will be responsible for the following tasks:
Record invoices of all formats
Approve invoices under strict conditions defined by standard operating procedures
Communicate to account managers the results of their analyses leading to interventions on invoices (corrections, complex approvals, etc.)
Respond to requests for details and follow-ups from suppliers and clients via phone or email",Publication : du 15/02/2024 au 15/04/2024 , Casablanca (Maroc), 2, Comptabilité / Audit - Offshoring / Nearshoring," Audit / Conseil , Gestion / Comptabilité / Finance", De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.
Créée en 2014, MCS est le fruit d’une joint-venture signée entre VENTEC Maroc et Carrier, numéro 1 mondial dans le domaine du froid. MCS assure le support technique, commercial et administratif à distance pour le compte de Carrier France, Carrier Espagne, Otis France, Chubb France, CIAT, Carrier Transicold, Carrier Réfrigération et d’autres sociétés du groupe. MCS permet d’assurer avec efficience et efficacité le traitement des demandes particulières et des consultations, la saisie des commandes, la gestion des réclamations ainsi que la planification des interventions et le support technique à distance.
Vous souhaitez révéler votre potentiel dans un environnement challengeant et collaboratif ?
Vous souhaitez évoluer dans une structure soucieuse de l’épanouissement et de la satisfaction de ses moyens humains ?
A vous de saisir l’opportunité et de concrétiser vos idées au cœur de nos projets ambitieux, en nous envoyant votre candidature.",Respect des règles Besoin d'action Travail en équipe Ambition Conventionnel Besoin d'objectivité Implication au travail Organisation
325,ALTEN,Team Leader Junior Support IT ,Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste avec Management
Publiée il y a 6 jours sur ReKrute.com - Postulez avant le 15/04/2024
J'aime Suivre
Entreprise :
ALTEN MAROC filiale du leader mondial de l'Ingénierie et du Conseil en Technologies (ICT), avec 40 000 collaborateurs au monde dont plus de 1000 au Maroc répartis sur trois Centres d'Excellence à Fès, Rabat et Casa, nous accompagnons nos clients en offrant des solutions d'ingénierie agiles et novatrices pour les grands donneurs d'ordre mondial dans les secteurs de l'automobile, l'aéronautique, les réseaux & télécoms, Software & Outils.
 Rejoindre ALTEN MAROC c'est  bénéficier : 
Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.
Des formations certifiantes et diplômantes.
Des événements réguliers pour combiner bien être et performance.
Poste :
Dans le cadre du développement important de notre activité, nous recherchons avant tout des personnalités, des passionnés !
Vous aurez l'opportunité de participer aux tâches suivantes :
Être partie prenante dans le quotidien des techniciens informatique ;
Être le référent IT auprès de l’équipe ;
Affecter les tâches aux membres de l'équipe et s'assurer de leur mise en œuvre ;
Identifier et remonter les dysfonctionnements, les besoins et participer aux choix des solutions ;
Travailler en synergie avec les équipes DSI à l’international et tout autre partenaire en fonction des sujets ;
Analyser la performance à partir d'indicateurs clés ;
Améliorer les procédures en place en étant force de proposition ;
Produire et communiquer les indicateurs de performance ;
Définition, suivi et amélioration des processus liés au périmètre ;
Gérer les rapports d'activité de l'équipe ;
Assurer le reporting (sous forme de tableaux de bord) des actions effectuées et en cours, ainsi que des résultats quantitatifs et qualitatifs de l'équipe ;
Assurer la représentation de l'équipe métier lors d'instances/réunions ;
Gérer les escalades vers les intervenants internes/externes ;
Gestion des comptes, sessions et accès ;
Assurer le support sur les outils Alten ;
Assurer la mise en production de la hotline et des incidentsGarantir la qualité du service et suivi des fichiersCoacher ses collaborateurs et favoriser leur montée en compétences ;
Assurer un encadrement administratif de son équipe (congé, retard, absence) ;
Produire les rapports et statistiques nécessaires pour l’accompagnement de l’activité.",Publication : du 15/02/2024 au 15/04/2024 , Fès (Maroc), 1, Informatique," Informatique / Electronique , Multimédia / Internet", De 1 à 3 ans - De 3 à 5 ans, Bac +3, CDI - Télétravail ,non spécifié,"Entreprise :
ALTEN MAROC filiale du leader mondial de l'Ingénierie et du Conseil en Technologies (ICT), avec 40 000 collaborateurs au monde dont plus de 1000 au Maroc répartis sur trois Centres d'Excellence à Fès, Rabat et Casa, nous accompagnons nos clients en offrant des solutions d'ingénierie agiles et novatrices pour les grands donneurs d'ordre mondial dans les secteurs de l'automobile, l'aéronautique, les réseaux & télécoms, Software & Outils.
 Rejoindre ALTEN MAROC c'est  bénéficier : 
Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.
Des formations certifiantes et diplômantes.
Des événements réguliers pour combiner bien être et performance.",Implication au travail Besoin d'autonomie Besoin de réflexion Ambition Recherche de nouveauté
326,MAROC,After-sales Assistant-Fluent English & French (H/F) ,"Immeuble LA COMANAV, 7 Boulevard la résistance",,Publication : du 15/02/2024 au 15/04/2024 , Casablanca (Maroc), 2, Centre d'appel - Offshoring / Nearshoring," Call Centers (métiers de) , Commercial / Vente / Export", De 1 à 3 ans, Bac +3, CDI - Télétravail ,non spécifié,"Entreprise :
C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.
Créée en 2014, MCS est le fruit d’une joint-venture signée entre VENTEC Maroc et Carrier, numéro 1 mondial dans le domaine du froid. MCS assure le support technique, commercial et administratif à distance pour le compte de Carrier France, Carrier Espagne, Otis France, Chubb France, CIAT, Carrier Transicold, Carrier Réfrigération et d’autres sociétés du groupe. MCS permet d’assurer avec efficience et efficacité le traitement des demandes particulières et des consultations, la saisie des commandes, la gestion des réclamations ainsi que la planification des interventions et le support technique à distance.
Vous souhaitez révéler votre potentiel dans un environnement challengeant et collaboratif ?
Vous souhaitez évoluer dans une structure soucieuse de l’épanouissement et de la satisfaction de ses moyens humains ?
A vous de saisir l’opportunité et de concrétiser vos idées au cœur de nos projets ambitieux, en nous envoyant votre candidature.",Respect des règles Extraversion Distance émotionnelle Besoin d'action Travail en équipe Improvisation Conventionnel Flexibilité
327,OCEANE,Ingénieur Etude et Développement PHP (H/F) ,8 Rue adi el haraki Ex calavon quartier des hopitaux,"Poste :
Mission: 
Participer à la conception et aux choix techniques devant être mis en œuvre dans le cadre des évolutions,
Analyser et traduire des besoins fonctionnels, non fonctionnels et proposer des solutions,
Proposer des développements et des recommandations en tenant compte de l’architecture logicielle des SI en place,
Participer aux activités de paramétrage des logiciels;
Documenter ses réalisations et les tester;
Assurer la maintenance évolutive et corrective des applications;
Faire le compte-rendu de son activité dans l'outil de suivi de projet.",Publication : du 15/02/2024 au 06/04/2024 , Rabat (Maroc), 1, Informatique," Informatique / Electronique , Informatique / Electronique", De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Océane Consulting IT Maroc, est la filiale du groupe Océane Consulting  basé en France. La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. La culture de l’entreprise est orientée vers l’engagement, le travail d’équipe et le respect, avec la possibilité pour chacun de s’épanouir et de progresser.",Besoin d'autonomie Besoin de réflexion Ambition Implication au travail Recherche de nouveauté
328,CAPGEMINI,Test Engineer (Electrical/Electronics/Embedded Systems) ,"shore 17, Casanearshore Boulevard El Qods","Poste :
As a Test Engineer, your main responsibilities are :
Automation Script, Test Basis, and Test Case Review:
Conduct comprehensive reviews of automation scripts to ensure efficiency.
Evaluate and enhance test basis (requirements) and test cases for accuracy and completeness.
Remote Test Execution at Hardware-in-the-Loop (HIL) Environments:
Execute tests remotely on various Hardware-in-the-Loop (HIL) setups.
Proficiency in conducting test executions on special HILs, including D-Space HILs.
Defect Creation and Analysis:
Identify and document defects with clear and concise details.
Analyze defects to provide insights for improvement and resolution.
Test Case Creation from Requirements:
Develop test cases based on comprehensive understanding of project requirements.
Ensure alignment of test cases with project goals and specifications.",Publication : du 15/02/2024 au 08/04/2024, Casablanca (Maroc),non spécifié, Automobile / Motos / Cycles," Méthodes / Process / Industrialisation , Télécoms / Réseaux", De 3 à 5 ans - De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.
Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 300 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020.
Get the Future You Want* - www.capgemini.com.",Organisation Besoin de réflexion Besoin d'objectivité Ténacité Rationalisme Respect des règles Recherche de nouveauté
329,CAPGEMINI,Ingénieur Modélisation & Test ,"shore 17, Casanearshore Boulevard El Qods","Poste :
Your main responsibilities are : 
Route signals between domains or Electronic Control Units (ECUs).
Update functional scripts as part of the tooling process.
Automate various manual tasks using Matlab scripts and Python tools.
Implement various validation unit tests in Matlab.
Manage and control the SVN repository structure.
Model new technologies added to the ECUs.
Test vehicle features in the Hardware-in-the-Loop (HIL) environment.
Deliver updated versions of components (Release).
Create new interfaces (Functions, Input/Output, etc.).
Update vehicle ECUs by removing and adding certain functionalities.",Publication : du 15/02/2024 au 08/04/2024, Casablanca (Maroc),non spécifié, Automobile / Motos / Cycles, Méthodes / Process / Industrialisation, De 3 à 5 ans - De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.
Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 300 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020.
Get the Future You Want* - www.capgemini.com.",Organisation Besoin de réflexion Respect des règles Recherche de nouveauté
330,CAPGEMINI,"Senior NVH Performance Engineer (Noise, vibration and harshness) ","shore 17, Casanearshore Boulevard El Qods","Poste :
As an NVH Performance Engineer, your main responsibilities are :
Leading NVH activities on propulsion systems (conventional and/or electrified) for all responsible programs
Ensuring NVH assessments are conducted at each program gate; and will engage release teams and ensure that NVH enablers are implemented into the final design
Supporting relevant NVH activities to integrate the propulsion system into the vehicle and to achieve NVH vehicle targets
Preparing and presenting clear and concise presentations for management reviews
Managing value optimization (VO) activities of propulsion systems while maintaining intended NVH character at product/vehicle level
Acting as the liaison between the Propulsion System organization and Vehicle organization with regards to NVH attributes on a system level
Overseeing process improvement actions in the organization to improve operational and economic efficiencies",Publication : du 15/02/2024 au 08/04/2024, Casablanca (Maroc),non spécifié, Automobile / Motos / Cycles," Informatique / Electronique , Méthodes / Process / Industrialisation", De 3 à 5 ans - De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.
Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 300 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020.
Get the Future You Want* - www.capgemini.com.",Organisation Implication au travail Besoin d'autonomie Besoin de réflexion Ambition Respect des règles Recherche de nouveauté
331,CAPGEMINI,Vehicle Function Owner ,"shore 17, Casanearshore Boulevard El Qods","Poste :
En tant que VF Owner, vos principales missions incluent :
Développer et gérer les spécifications techniques pour les projets automobiles.
Élaborer les schémas électriques de divers systèmes automobiles tels que l'ADAS, le groupe motopropulseur, le cockpit, l'infotainment et le HVAC.
Collaborer avec plusieurs équipes pour concevoir de nouvelles solutions d'architecture électrique pour les systèmes électroniques assignés.
Concevoir et mettre en œuvre les schémas électriques des systèmes du véhicule.
Assurer l'harmonisation entre les exigences de l'architecture et les besoins des parties prenantes.
Analyser et concevoir des synoptiques électriques.
Appliquer des connaissances approfondies du cycle de développement (cycle V).
Assurer la communication avec différents fournisseurs et proposer des clarifications et des solutions d'amélioration.
Posséder de solides connaissances en architecture système des véhicules.
Utiliser des outils d'ingénierie système tels que DOORS, Polarion, MS VISIO.
Maîtriser les réseaux de communication tels que CAN, LIN, Ethernet.
Faire preuve de sens de l'analyse et de la synthèse.",Publication : du 15/02/2024 au 08/04/2024, Casablanca (Maroc),non spécifié, Automobile / Motos / Cycles," Informatique / Electronique , Méthodes / Process / Industrialisation", De 3 à 5 ans - De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.
Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 300 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020.
Get the Future You Want* - www.capgemini.com.",Recherche de nouveauté Respect des règles Ambition Besoin de réflexion Besoin d'autonomie Implication au travail Organisation
332,CAPGEMINI,Automotive System Engineer ,"shore 17, Casanearshore Boulevard El Qods","Poste :
Defining the functional requirements for the new centralized and service-oriented EE architecture :
Define and own system requirements design from our main functional domains: ADAS/AD; body; cockpit; connectivity; and powertrain that exceed our customer user experience and cost requirements
Design, develop and generate EE system requirements
Implement systematic requirements management models that exceed industry best practice for completeness, consistency, and correctness (INCOSE and MBSE)
Relentlessly drive to early life cycle delivery through an agile approach
Provide requirements to develop HW and SW solutions, based on a Service Oriented Architecture (SOA)
Design EE system requirements considering cyber security and functional safety requirements
Facilitate research, design, development, and engineering skill development for the team
Develop a culture of collaboration, diversity and inclusion
Willing to act and drive results",Publication : du 15/02/2024 au 31/03/2024 , Casablanca (Maroc), 10, Automobile / Motos / Cycles - Electronique," Gestion projet / Etudes / R&D , Méthodes / Process / Industrialisation", De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.
Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 300 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020.
Get the Future You Want* - www.capgemini.com.",Recherche de nouveauté Rationalisme Besoin d'action Ambition Besoin d'autonomie
333,SOCIETE,Stage PFE Animation Retail et analyse financière ,"55, bd Abdelmoumen",,Publication : du 15/02/2024 au 15/04/2024 , casablanca (Maroc), 1, Banque / Finance, Gestion / Comptabilité / Finance, Débutant, Bac +5 et plus, Stage - Télétravail ,non spécifié,"Entreprise :
Présente au Maroc depuis plus de 100 ans, Société Générale Maroc est devenue un Groupe financier de premier plan, s’appuyant sur un modèle éprouvé de banque universelle et de synergies avec ses 14 filiales spécialisées.
Société Générale Maroc a su adapter son organisation et son dispositif afin de répondre au mieux aux attentes de tous ses clients : Grandes Entreprises, Investisseurs Institutionnels, PME/PMI, Particuliers et Professionnels et ce, en couvrant tous les domaines d’activités et en proposant une large gamme de métiers complémentaires.
Au Maroc, Société Générale est portée par un projet d’entreprise visant à faire de notre banque « La banque relationnelle de référence sur ses marchés, proche de ses clients, choisie pour la qualité et l’engagement de ses équipes ».
Près de 4000 collaborateurs sont actuellement animés par cette même ambition portée par 4 valeurs phares qui sont l’Esprit d’équipe, l'Engagement, la Responsabilité et l’Innovation.
POURQUOI NOUS CHOISIR ?
Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.
Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.
Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !",Respect des règles Rationalisme Conventionnel Besoin d'objectivité Organisation
334,EBRD,Analyst Infra EMEA ,---,"Poste :
The principal responsibility of the Analyst will be to help ensure that projects are prepared and implemented in line with the Bank’s mandate and donor requirements. In particular, ensure that TCs and capital grants are monitored and managed in line with the Bank’s mandate, the requirements of donors, and the aims of the underlying investments. The Analyst will work closely with more senior bankers to support effective preparation, implementation and monitoring of the Team’s donor-funded technical cooperation (TC) and capital grant activity and guarantee instruments in Morocco, as well as other project implementation-related tasks.
Accountabilities and Responsibilities:
Work as a team member on donor-funded transactions, assisting in project structuring and implementation.
Occasionally take on leadership roles with guidance from senior bankers.
Aid in designing and processing Technical Cooperation (TC) assignments, including drafting Terms of Reference and internal approval documentation.
Support clients through the tendering process for donor-supported investment projects or policy dialogue initiatives.
Assist in the effective implementation and monitoring of grant-funded project components, ensuring compliance with donor requirements and preparing necessary reports.
Support donor visibility, communication activities, local outreach, and stakeholder engagement as needed.
Monitor and evaluate project implementation, including physical and institutional components, and provide feedback on performance.
Coordinate activities of international and local consulting firms involved in project-related TCs, ensuring they receive necessary support and documentation.
Facilitate timely submission of reports and data to meet reporting covenants.
Ensure compliance with environmental, social, and gender initiatives required by the Bank and donors, supporting implementation of related action plans and reporting.
Identify and address emerging problems that could impact project objectives, advising on corrective actions and assisting in negotiations if needed.",Publication : du 14/02/2024 au 14/04/2024 , Casablanca (Maroc), 1, Banque / Finance," Banque (métiers de la) , Gestion / Comptabilité / Finance", De 1 à 3 ans - De 3 à 5 ans, Bac +4, CDD - Télétravail ,non spécifié,"Entreprise :
The European Bank for Reconstruction and Development was founded in 1991 when communism was crumbling in Europe and ex-Soviet countries needed support to nurture a new private sector and democracy. Today we invest to help build market economies from central Europe to central Asia and the southern and eastern Mediterranean. We are now the largest single investor in our region. Owned by 69 countries and two intergovernmental institutions, we provide project financing for banks, industries and businesses. We also work with publicly owned companies to support privatisation, restructure state-owned firms and improve municipal services. Wherever we are active, we promote policies that bolster the business climate.",Respect des règles Rationalisme Conventionnel Flexibilité Implication au travail Organisation
335,ALTADOS,Technical Leader Senior ,"3 rue Van Zeeland, angle bd Abdelmoumen 7ème étage, Casablanca","Poste avec Management
Publiée il y a 6 jours sur ReKrute.com - Postulez avant le 14/04/2024
J'aime Suivre
Entreprise :
Altados est un acteur de la transformation numérique. Avec ses collaborateurs, Altados accompagne la transformation de ses clients au Maroc et en France, depuis la réflexion stratégique jusqu'à l’exécution technologique et opérationnelle, en faisant appel aux expertises de tous ses consultants.

Altados accompagne ses clients dans la découverte, le test et l'appropriation des technologies présentes et futures. Ainsi, les clients pourront mesurer et maitriser leur impacts sur les organisations existantes et envisager sereinement les potentialités nouvelles et leurs avantages.

Altados met au cœur de sa stratégie fondamental l'élément Humain. Toute réussite est basée sur l'implication et l'adhésion de toutes les parties prenantes. Altados œuvre à être porteur d'un message fédérateur autour des changements afin de s'assurer de l'engagement inconditionnel de tous les acteurs de la transformation.

Altados avance et façonne pour que les réalisations et les mutations de l'entreprise soient toujours au service de la performance et de la compétitivité de ses clients.

NOS VALEURS :

Engagement ; Exigence ; Excellence ; Bienveillance

NOTRE POLITIQUE RH :

Une réputation irréprochable, Un faible Turn-over, Un sens de l'engagement, Une politique de partage des résultats financiers,
Un management participatif, délégatif et par motivation,
Un Investissement dans le bien être, le confort, la gestion de la carrière et la formation des collaborateurs.
Poste :
Pour le compte de l'un de ses clients basés sur Casablance, ALTADOS By Niji est à la recherche d'un  « Technical Leader Senior », et ce pour une mission en Freelance.


Mission & activités :


? Pilotage technique de projets, incluant la définition des choix techniques, des méthodologies de développement, et la participation active aux développements complexes.


? Coordination avec les équipes techniques pour le développement des produits en respectant les exigences de l’architecture technique


? Responsabilité de la qualité logicielle, de l’intégration continue des nouvelles fonctionnalités, et de la Gestion de la configuration et du versionning ;


? Audit des développements logiciels (spécifications, maquettage, conception, codage) en respectant les bonnes pratiques techniques ;


? Gère les Problématiques Front- end et Back- end


? Coaching et accompagnement des membres de l'équipe pour renforcer l'excellence technique.


? Participation aux cérémonies agile.


? Réalisation la documentation nécessaire.


? Facilitation des interactions entre les équipes techniques et les équipes métiers.


? Veille technologique continue et contribution à la capitalisation des connaissances.


 ",Publication : du 14/02/2024 au 14/04/2024 , Casablanca (Maroc), 3, Informatique, Informatique / Electronique, De 5 à 10 ans, Bac +5 et plus, Freelance - Télétravail ,non spécifié,"Entreprise :
Altados est un acteur de la transformation numérique. Avec ses collaborateurs, Altados accompagne la transformation de ses clients au Maroc et en France, depuis la réflexion stratégique jusqu'à l’exécution technologique et opérationnelle, en faisant appel aux expertises de tous ses consultants.

Altados accompagne ses clients dans la découverte, le test et l'appropriation des technologies présentes et futures. Ainsi, les clients pourront mesurer et maitriser leur impacts sur les organisations existantes et envisager sereinement les potentialités nouvelles et leurs avantages.

Altados met au cœur de sa stratégie fondamental l'élément Humain. Toute réussite est basée sur l'implication et l'adhésion de toutes les parties prenantes. Altados œuvre à être porteur d'un message fédérateur autour des changements afin de s'assurer de l'engagement inconditionnel de tous les acteurs de la transformation.

Altados avance et façonne pour que les réalisations et les mutations de l'entreprise soient toujours au service de la performance et de la compétitivité de ses clients.

NOS VALEURS :

Engagement ; Exigence ; Excellence ; Bienveillance

NOTRE POLITIQUE RH :

Une réputation irréprochable, Un faible Turn-over, Un sens de l'engagement, Une politique de partage des résultats financiers,
Un management participatif, délégatif et par motivation,
Un Investissement dans le bien être, le confort, la gestion de la carrière et la formation des collaborateurs.",Recherche de nouveauté Implication au travail Ambition Besoin de réflexion Besoin d'autonomie
